pressurec2,energy_densityc2,baryon_density,cs2c2
1522243373883466.2,2969617979428445.0,2017696638336371.8,0.7638557165502412
1550899150499363.5,3007094749456233.0,2034477533561637.8,0.7653792856264475
1579793470866198.8,3044809116403747.5,2051258541031913.8,0.7668721953933261
1608925911891179.5,3082761086843176.0,2068039658681411.2,0.7683354165284387
1638296062608815.0,3120950663829303.0,2084820884487515.0,0.7697698806620925
1667903523738577.5,3159377847081610.5,2101602216470120.8,0.7711764821706819
1697747907259958.2,3198042633157027.0,2118383652690916.2,0.7725560798832272
1727828836004254.8,3236945015613783.0,2135165191252665.0,0.7739094987043202
1758145943262498.5,3276084985166960.0,2151946830298448.0,0.7752375311575648
1788698872408898.5,3315462529836137.5,2168728568010950.8,0.7765409388539053
1819487276539174.5,3355077635085529.5,2185510402611680.0,0.7778204538881573
1850510818123237.5,3394930283957065.0,2202292332360227.5,0.7790767801673075
1881769168671628.0,3435020457196756.0,2219074355553483.8,0.7803105946734938
1913262008415147.5,3475348133374737.5,2235856470524894.2,0.7815225486653699
1944989025997196.5,3515913288999319.0,2252638675643711.5,0.7827132688213906
1976949918178264.0,3556715898625312.5,2269420969314207.0,0.7838833583268234
2009144389552088.0,3597755934957018.0,2286203349974960.5,0.7850333979077776
2041572152273012.0,3639033368946104.0,2302985816098095.5,0.786163946815679
2074232925794064.5,3680548169884616.5,2319768366188538.5,0.7872755437636059
2107126436615320.0,3722300305493439.0,2336550998783302.0,0.7883687078169885
2140252418042156.8,3764289742006468.0,2353333712450783.5,0.7894439392421762
2173610609952907.2,3806516444250550.5,2370116505790034.5,0.7905017203139861
2207200758575595.5,3848980375721593.0,2386899377430074.0,0.7915425160840116
2241022616273366.5,3891681498656994.5,2403682326029199.5,0.7925667751128392
2275075941338192.5,3934619774104486.5,2420465350274324.5,0.7935749301672068
2309360497792579.5,3977795161987711.5,2437248448880304.0,0.7945673988838203
2343876055198883.5,4021207621168603.5,2454031620589307.5,0.7955445844021538
2378622388475963.0,4064857109506781.5,2470814864170149.0,0.7965068759673799
2413599277722810.0,4108743583916057.0,2487598178417708.0,0.7974546495047932
2448806508048927.5,4152867000418284.5,2504381562152271.5,0.7983882681674757
2484243869411122.5,4197227314194608.0,2521165014218980.0,0.7993080828586814
2519911156456460.0,4241824479634244.5,2537948533487195.0,0.8002144327297138
2555808168371153.0,4286658450381004.0,2554732118849983.5,0.8011076456548504
2591934708735080.5,4331729179377541.0,2571515769223494.5,0.801988038684671
2628290585381762.5,4377036618907542.5,2588299483546481.0,0.8028559184784269
2664875610263515.5,4422580720635900.0,2605083260779697.0,0.8037115817166809
2701689599321610.5,4468361435647004.0,2621867099905424.0,0.8044527158049153
2738732372361219.5,4514390473607420.0,2638655288844530.5,0.8047696558738638
