central_baryon_density,central_pressurec2,M,R,Lambda
9.035421676722356250e+14,4.799081102531685625e+14,2.277813808626053760e+00,1.185569565967898598e+01,9.910718185096191846e+00
9.249654494846683750e+14,5.128469136813593750e+14,2.305303441303557577e+00,1.183092081260635631e+01,8.781373665883133839e+00
9.474386233933396250e+14,5.480464931791786250e+14,2.330020676206012276e+00,1.180136685011963138e+01,7.830160633816444005e+00
9.709925785784973750e+14,5.856620185738530000e+14,2.352582529568854941e+00,1.176757034585168959e+01,7.001619713050157401e+00
9.956634116670336250e+14,6.258593098740247500e+14,2.372698210843087185e+00,1.173249714301882385e+01,6.300700708874854783e+00
1.021492223011383000e+15,6.688155682518390000e+14,2.390648394858887027e+00,1.169242027636927439e+01,5.679471448116875543e+00
1.048525000658487375e+15,7.147201571964588750e+14,2.406234961845236775e+00,1.165033443124506540e+01,5.157120078372836147e+00
1.076812575472986000e+15,7.637754372825581250e+14,2.419524179822533760e+00,1.160441441669438589e+01,4.700816653352370089e+00
1.106410635173630750e+15,8.161976582336876250e+14,2.431018488346836648e+00,1.155729502500122940e+01,4.293871884791619742e+00
1.137343373759006750e+15,8.722179122129890000e+14,2.439908977932312428e+00,1.150665811741347966e+01,3.949286344660002612e+00
1.169685725352602250e+15,9.320831525436318750e+14,2.446724780315677084e+00,1.145282925756052528e+01,3.640053135105275839e+00
1.203458063935645750e+15,9.960572823497875000e+14,2.451931573317542856e+00,1.139691348418676675e+01,3.372050387479867961e+00
1.238737493518657000e+15,1.064422317917179000e+15,2.454861504911937331e+00,1.133873311698907393e+01,3.135352375159701666e+00
1.275572055369108500e+15,1.137479631901636000e+15,2.456088282424073288e+00,1.127870874679372903e+01,2.927870864527244876e+00
1.294601123259455750e+15,1.175867690114232250e+15,2.456017806355824895e+00,1.124836209036124757e+01,2.832872786342003124e+00
1.314016812377681250e+15,1.215551281866071000e+15,2.456859709187345420e+00,1.121453587075262703e+01,2.700427976916405903e+00
1.333865569341616250e+15,1.256574129273598000e+15,2.455722828814776992e+00,1.118329195133953924e+01,2.619917683813785647e+00
1.354133652839755000e+15,1.298981430002450500e+15,2.453478576244074283e+00,1.115308400580691917e+01,2.576808290030761839e+00
1.395974266747132500e+15,1.388137860297302750e+15,2.449790773334485916e+00,1.108830295033509472e+01,2.430756773067464405e+00
1.439603207869606750e+15,1.483413599828858750e+15,2.444790930435657206e+00,1.102259752629178813e+01,2.304868241157780773e+00
1.485087410952000000e+15,1.585228651342973250e+15,2.438405787840385308e+00,1.095583842252966988e+01,2.188479864892808990e+00
1.532496944863191250e+15,1.694031844745511500e+15,2.430783517405779026e+00,1.088848016509636096e+01,2.088722985093110829e+00
1.633350002215926000e+15,1.934554119864455000e+15,2.412028182530799647e+00,1.075129063804143215e+01,1.918943275873359555e+00
1.742753429255647500e+15,2.209226263539785250e+15,2.390237188651890499e+00,1.061126476834027699e+01,1.763248972873355136e+00
1.861321035657881000e+15,2.522896947362696000e+15,2.363280408686154743e+00,1.047576332336860894e+01,1.682403059391364808e+00
1.989739584039022750e+15,2.881103267717596000e+15,2.334827684685882865e+00,1.034024518516340230e+01,1.603856184209937696e+00
2.057852769398729000e+15,3.078849653252953500e+15,2.319562603593302352e+00,1.027320654560979918e+01,1.576348226776811856e+00
2.064852258400017500e+15,3.099447576052847500e+15,2.318832373521963142e+00,1.026560380096946545e+01,1.555492360876697511e+00
2.064852258400017500e+15,3.099447576052847500e+15,2.318061438146198139e+00,1.026646928892219712e+01,1.569089706244430227e+00
2.064852258400017500e+15,3.099447576052847500e+15,2.318008197581978624e+00,1.026643737977086879e+01,1.575529374485110212e+00
2.064852258400017500e+15,3.099447576052847500e+15,2.318134907956186819e+00,1.026657697973831951e+01,1.572115457323297605e+00
2.064852258400017500e+15,3.099447576052847500e+15,2.318071233026677724e+00,1.026650772561524505e+01,1.570660329262941080e+00
2.064852258400017500e+15,3.099447576052847500e+15,2.318647062767547062e+00,1.026604198406153401e+01,1.561981782318920153e+00
2.064852258400017500e+15,3.099447576052847500e+15,2.319214785734522000e+00,1.026485329286613890e+01,1.546829424973371836e+00
2.064852258400017500e+15,3.099447576052847500e+15,2.318676510317990935e+00,1.026556702955865319e+01,1.554289158543926685e+00
2.064852258400017500e+15,3.099447576052847500e+15,2.318057628396470893e+00,1.026693931566201812e+01,1.571529543425402853e+00
2.064852258400017500e+15,3.099447576052847500e+15,2.318088815475420450e+00,1.026628892377382307e+01,1.570920309560392525e+00
2.064852258400017500e+15,3.099447576052847500e+15,2.318542232139023884e+00,1.026584818975605096e+01,1.560909018135581805e+00
2.064852258400017500e+15,3.099447576052847500e+15,2.318093516373150198e+00,1.026642082252631560e+01,1.569779683836015405e+00
2.064852258400017500e+15,3.099447576052847500e+15,2.318286595875416634e+00,1.026596307492394367e+01,1.566411105362131906e+00
